acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,target
0.0312,0.706,163413,0.659,0.011,10,0.116,-9.23,1,0.337,82.5,0.204,1
0.136,0.838,208952,0.816,0.000437,8,0.156,-7.495,1,0.124,120.003,0.55,1
0.000347,0.214,355540,0.969,0.246,11,0.138,-3.924,1,0.106,159.948,0.0369,1
0.211,0.714,173208,0.411,0.0046,6,0.0536,-13.575,0,0.0742,80.028,0.319,1
1.33E-05,0.412,294027,0.942,0.286,7,0.159,-7.566,1,0.0708,101.892,0.211,1
5.16E-05,0.506,426680,0.877,0.776,0,0.0712,-5.73,1,0.032,114.589,0.302,1
0.00155,0.375,363067,0.682,0.6,0,0.0897,-6.901,0,0.0364,159.231,0.391,1
0.521,0.872,174872,0.533,2.64E-05,7,0.104,-6.209,0,0.0604,116.986,0.35,1
3.45E-05,0.296,239293,0.912,0.00264,5,0.389,-3.433,1,0.0645,171.931,0.276,1
0.0105,0.773,164227,0.731,0.312,1,0.101,-8.856,0,0.0958,113.996,0.447,1
0.368,0.607,235826,0.486,0,8,0.292,-9.65,0,0.0426,115.014,0.221,1
0.000867,0.52,240572,0.981,0.00177,2,0.197,-2.75,1,0.0906,158.937,0.633,1
0.101,0.735,208500,0.681,0,4,0.222,-4.025,0,0.188,184.146,0.675,1
0.0291,0.742,129025,0.682,0.00357,10,0.652,-3.184,1,0.174,103.999,0.737,1
0.0267,0.768,167296,0.769,0.00011,8,0.283,-6.575,1,0.0683,82.52,0.536,1
0.179,0.661,163805,0.723,1.23E-05,5,0.14,-6.976,0,0.0566,113.778,0.316,1
0.000683,0.499,340132,0.97,0.136,0,0.0871,-2.838,1,0.116,106.558,0.0506,1
0.00591,0.398,342821,0.939,0.000881,9,0.357,-2.865,0,0.0648,92.027,0.235,1
0.214,0.746,206187,0.787,0,4,0.0669,-6.373,1,0.12,95.005,0.607,1
0.234,0.918,236000,0.837,0,1,0.227,-6.792,1,0.255,120.017,0.855,1
0.191,0.681,194120,0.514,0.0207,1,0.0983,-6.272,0,0.0676,150.979,0.145,1
0.526,0.343,276138,0.464,2.91E-05,8,0.12,-8.427,0,0.054,84.484,0.182,1
0.164,0.656,160008,0.516,8.20E-06,10,0.139,-8.215,0,0.0468,75.012,0.321,1
0.117,0.565,171429,0.818,2.45E-06,6,0.213,-4.884,0,0.298,168.056,0.261,1
0.0425,0.611,205031,0.658,0.000638,5,0.146,-7.764,0,0.275,146.977,0.453,1
0.251,0.373,184000,0.309,7.18E-05,8,0.38,-10.659,0,0.253,181.118,0.213,1
0.0249,0.832,228571,0.672,0.758,11,0.0833,-2.867,1,0.054,126.021,0.57,1
