Year,Month,ArtistScore,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,target
2016,11,0,0.462,0.658,5,-9.271,0,0.424,0.26,0,0.119,0.525,184.838,0
2000,1,0,0.863,0.887,2,-5.241,1,0.123,0.164,0,0.166,0.865,102.134,0
1992,1,1,0.885,0.851,8,-5.752,0,0.278,0.148,0,0.0919,0.634,103.671,1
2003,10,0,0.539,0.847,4,-3.409,0,0.0493,0.0023,2.25E-05,0.0759,0.459,130.105,0
2005,5,0,0.7,0.538,1,-5.952,1,0.045,0.000204,0,0.105,0.189,136.518,1
2010,1,1,0.533,0.627,8,-5.584,1,0.0333,0.198,0,0.182,0.263,139.919,1
2003,1,1,0.75,0.391,8,-7.087,0,0.0831,0.277,5.99E-06,0.0759,0.711,146.191,1
2006,1,0,0.291,0.167,10,-23.477,1,0.0577,0.966,0.931,0.106,0.186,68.724,0
2010,11,1,0.459,0.77,9,-5.996,1,0.0472,0.0765,0,0.0879,0.168,110.705,1
2007,12,0,0.378,0.984,4,-3.962,1,0.145,9.96E-05,0,0.62,0.618,97.69,0
2015,10,0,0.812,0.852,1,-7.87,1,0.0506,3.14E-05,0.754,0.47,0.776,121.99,0
1999,8,0,0.552,0.628,9,-11.408,1,0.151,0.702,0.00012,0.415,0.745,179.969,0
1991,1,0,0.66,0.816,5,-7.54,1,0.0295,0.00368,1.92E-06,0.303,0.877,110.096,0
2002,1,0,0.431,0.903,1,-6.405,1,0.0891,2.61E-05,0.0362,0.273,0.386,92.379,0
2005,9,0,0.372,0.632,7,-9.535,1,0.0505,0.274,0.134,0.155,0.777,131.409,0
1991,1,0,0.759,0.535,10,-11.998,1,0.0573,0.0826,0,0.102,0.753,145.8,0
1999,3,0,0.223,0.684,9,-8.151,1,0.0409,0.00756,0.000272,0.262,0.183,191.973,0
1996,6,1,0.772,0.857,10,-7.144,0,0.185,0.163,0.000633,0.113,0.665,106.873,1
1999,6,0,0.544,0.435,4,-9.927,1,0.0265,0.462,0,0.106,0.152,72.981,1
2001,8,0,0.826,0.783,7,-6.366,0,0.0306,0.515,0.000361,0.297,0.973,122.135,0
1995,1,0,0.466,0.177,2,-12.224,1,0.0302,0.593,3.92E-05,0.689,0.153,74.877,0
1997,5,0,0.496,0.762,6,-7.64,0,0.0628,0.036,0.00199,0.315,0.674,130.004,1
1990,1,0,0.579,0.259,0,-12.191,1,0.0291,0.969,0.919,0.134,0.0667,94.044,0
2007,8,0,0.237,0.923,7,-5.412,1,0.107,0.0455,1.27E-06,0.0215,0.361,86.825,0
1990,1,0,0.661,0.727,10,-11.343,0,0.0343,0.00107,0.114,0.297,0.35,118.005,1
1994,1,1,0.67,0.468,1,-6.725,0,0.0328,0.325,0,0.0516,0.486,140.069,1
2009,1,0,0.572,0.886,9,-4.478,1,0.0534,0.000185,3.95E-05,0.245,0.702,111.606,0
2018,1,0,0.782,0.56,11,-10.162,0,0.0908,0.452,0.00151,0.0653,0.962,88.799,0
2013,11,1,0.319,0.732,4,-4.475,1,0.0436,0.0134,0,0.658,0.2,80.195,1
2009,1,0,0.441,0.609,10,-12.051,0,0.0541,0.473,0,0.276,0.645,85.549,0
2004,10,0,0.712,0.635,2,-5.677,1,0.0351,0.00699,0.0238,0.0575,0.772,81.011,0
2002,3,0,0.587,0.386,0,-10.627,1,0.0365,0.66,0.0227,0.0937,0.499,124.545,0
1996,10,0,0.504,0.761,10,-5.446,1,0.0437,0.00628,0,0.0892,0.884,117.999,1
2000,6,0,0.743,0.774,1,-7.697,1,0.325,0.0262,0,0.137,0.646,106.082,1
2006,7,0,0.625,0.715,4,-8.195,0,0.0485,0.187,0.928,0.108,0.381,133.342,0
2009,7,1,0.563,0.402,9,-10.496,1,0.0668,0.252,2.07E-06,0.0886,0.2,115.561,1
2016,11,0,0.606,0.802,2,-8.294,1,0.0402,0.0358,9.88E-05,0.302,0.519,126.081,1
2001,1,0,0.694,0.853,1,-7.731,1,0.274,0.0136,0,0.0312,0.932,171.706,0
2008,1,1,0.635,0.742,8,-3.77,1,0.0505,0.0071,2.70E-05,0.0774,0.725,89.974,1
2005,1,0,0.467,0.876,10,-4.841,1,0.0693,0.00578,0.00592,0.035,0.131,135.055,1
2010,7,0,0.69,0.621,8,-3.583,1,0.06,0.321,2.81E-05,0.0884,0.497,66.858,1
2009,1,0,0.51,0.855,0,-5.73,1,0.0547,0.0917,3.10E-06,0.0791,0.2,131.943,0
2009,7,0,0.268,0.998,8,-1.522,1,0.388,0.0062,1.71E-05,0.108,0.227,194.655,0
2003,10,0,0.718,0.691,10,-9.118,1,0.0408,0.00999,0.877,0.1,0.349,140.998,0
2003,1,0,0.59,0.773,6,-5.183,1,0.0286,0.221,5.49E-05,0.102,0.679,147.377,1
1993,11,1,0.801,0.518,1,-12.054,1,0.314,0.0286,3.65E-06,0.309,0.598,97.302,1
2000,9,0,0.769,0.399,0,-8.378,1,0.337,0.0953,0,0.0987,0.47,166.229,0
2009,6,0,0.524,0.911,3,-5.738,1,0.0396,1.49E-05,0.00443,0.365,0.6,137.36,0
2013,6,0,0.493,0.637,4,-9.626,1,0.052,0.0903,0.823,0.847,0.43,147.742,0
2009,11,0,0.26,0.7,2,-3.58,1,0.0312,0.00532,0,0.357,0.202,147.872,1
2004,1,1,0.33,0.936,1,-3.66,1,0.0917,0.00108,0,0.0926,0.234,148.112,1
2004,9,0,0.372,0.709,9,-6.526,0,0.0379,0.00637,0.834,0.106,0.0746,133.333,0
2008,9,1,0.335,0.985,4,-2.383,0,0.0921,0.000115,0.000807,0.135,0.202,106.552,0
2008,3,0,0.657,0.747,6,-7.109,0,0.0345,0.126,0.0544,0.0992,0.366,121.043,0
2008,9,0,0.267,0.987,2,-6.083,1,0.187,5.67E-05,1.40E-05,0.185,0.123,201.687,0
2005,8,0,0.471,0.865,11,-8.2,0,0.0401,0.0207,0.71,0.0947,0.448,150.049,0
2006,1,0,0.83,0.948,9,-3.973,0,0.0455,0.106,2.29E-06,0.105,0.931,111.993,1
2000,1,1,0.631,0.734,5,-7.48,0,0.036,0.348,0,0.135,0.591,124.036,1
2004,1,0,0.556,0.32,0,-9.125,1,0.0851,0.695,5.02E-06,0.451,0.161,137.709,0
1990,9,0,0.753,0.306,8,-13.827,1,0.0634,0.275,0.788,0.605,0.782,141.939,0
2004,2,0,0.85,0.797,10,-7.429,0,0.136,0.0964,8.38E-06,0.34,0.63,99.615,0
2003,1,0,0.593,0.554,1,-9.286,1,0.0336,0.476,0,0.0804,0.489,151.953,1
2009,3,0,0.391,0.781,0,-4.931,0,0.309,0.0497,8.02E-06,0.396,0.341,158.535,0
2013,4,0,0.556,0.553,6,-11.098,1,0.0572,0.784,0.00015,0.221,0.964,155.052,0
2010,1,0,0.562,0.409,4,-16.625,1,0.0324,0.264,0,0.16,0.929,80.409,0
2013,10,0,0.677,0.796,1,-3.567,1,0.273,0.565,0,0.162,0.479,160.066,0
1995,10,0,0.372,0.865,2,-4.918,1,0.0381,0.000453,0,0.234,0.478,174.53,1
2009,3,0,0.562,0.45,9,-12.258,0,0.0279,0.529,0.000911,0.643,0.547,97.797,0
2004,5,0,0.537,0.758,7,-4.065,1,0.0249,0.0103,0,0.131,0.295,100.041,1
2007,11,0,0.69,0.765,8,-6.732,1,0.0558,0.0242,0,0.36,0.967,97.55,0
2003,7,0,0.396,0.712,2,-5.468,1,0.0483,0.128,0,0.125,0.488,121.561,0
2005,1,0,0.865,0.487,7,-7.409,1,0.0459,0.173,0.0055,0.106,0.513,122.01,0
2010,1,0,0.301,0.508,0,-9.654,1,0.0409,0.668,0.44,0.27,0.0546,84.245,0
1991,1,0,0.51,0.655,5,-10.754,1,0.0375,0.617,0.0882,0.877,0.897,103.963,0
2008,3,0,0.477,0.741,11,-6.971,1,0.0706,0.0432,1.04E-05,0.129,0.809,145.088,0
2002,1,0,0.441,0.902,7,-6.025,1,0.0458,0.0111,0,0.286,0.606,89.508,0
1994,4,0,0.352,0.587,0,-12.272,1,0.101,0.0734,0.711,0.266,0.412,164.662,0
